sg,sr,sc,sp,dg,dr,dc,dp
0,0,0,30,1,0,0,30
0,0,0,31,1,0,0,31
0,0,0,32,9,0,0,31
0,0,0,36,9,0,0,30
0,1,0,30,1,1,0,30
0,1,0,31,1,1,0,31
0,1,0,32,9,1,0,31
0,1,0,36,9,1,0,30
0,2,0,30,1,2,0,30
0,2,0,31,1,2,0,31
0,2,0,32,9,2,0,31
0,2,0,36,9,2,0,30
0,3,0,30,1,3,0,30
0,3,0,31,1,3,0,31
0,3,0,32,9,3,0,31
0,3,0,36,9,3,0,30
0,4,0,30,1,4,0,30
0,4,0,31,1,4,0,31
0,4,0,32,9,4,0,31
0,4,0,36,9,4,0,30
0,5,0,30,1,5,0,30
0,5,0,31,1,5,0,31
0,5,0,32,9,5,0,31
0,5,0,36,9,5,0,30
0,0,1,30,1,0,1,30
0,0,1,31,1,0,1,31
0,0,1,32,9,0,1,31
0,0,1,36,9,0,1,30
0,1,1,30,1,1,1,30
0,1,1,31,1,1,1,31
0,1,1,32,9,1,1,31
0,1,1,36,9,1,1,30
0,2,1,30,1,2,1,30
0,2,1,31,1,2,1,31
0,2,1,32,9,2,1,31
0,2,1,36,9,2,1,30
0,3,1,30,1,3,1,30
0,3,1,31,1,3,1,31
0,3,1,32,9,3,1,31
0,3,1,36,9,3,1,30
0,4,1,30,1,4,1,30
0,4,1,31,1,4,1,31
0,4,1,32,9,4,1,31
0,4,1,36,9,4,1,30
0,5,1,30,1,5,1,30
0,5,1,31,1,5,1,31
0,5,1,32,9,5,1,31
0,5,1,36,9,5,1,30
0,0,2,30,2,0,0,30
0,0,2,31,2,0,0,31
0,0,2,32,10,0,0,31
0,0,2,36,10,0,0,30
0,1,2,30,2,1,0,30
0,1,2,31,2,1,0,31
0,1,2,32,10,1,0,31
0,1,2,36,10,1,0,30
0,2,2,30,2,2,0,30
0,2,2,31,2,2,0,31
0,2,2,32,10,2,0,31
0,2,2,36,10,2,0,30
0,3,2,30,2,3,0,30
0,3,2,31,2,3,0,31
0,3,2,32,10,3,0,31
0,3,2,36,10,3,0,30
0,4,2,30,2,4,0,30
0,4,2,31,2,4,0,31
0,4,2,32,10,4,0,31
0,4,2,36,10,4,0,30
0,5,2,30,2,5,0,30
0,5,2,31,2,5,0,31
0,5,2,32,10,5,0,31
0,5,2,36,10,5,0,30
0,0,3,30,2,0,1,30
0,0,3,31,2,0,1,31
0,0,3,32,10,0,1,31
0,0,3,36,10,0,1,30
0,1,3,30,2,1,1,30
0,1,3,31,2,1,1,31
0,1,3,32,10,1,1,31
0,1,3,36,10,1,1,30
0,2,3,30,2,2,1,30
0,2,3,31,2,2,1,31
0,2,3,32,10,2,1,31
0,2,3,36,10,2,1,30
0,3,3,30,2,3,1,30
0,3,3,31,2,3,1,31
0,3,3,32,10,3,1,31
0,3,3,36,10,3,1,30
0,4,3,30,2,4,1,30
0,4,3,31,2,4,1,31
0,4,3,32,10,4,1,31
0,4,3,36,10,4,1,30
0,5,3,30,2,5,1,30
0,5,3,31,2,5,1,31
0,5,3,32,10,5,1,31
0,5,3,36,10,5,1,30
0,0,4,30,3,0,0,30
0,0,4,31,3,0,0,31
0,0,4,32,11,0,0,31
0,0,4,36,11,0,0,30
0,1,4,30,3,1,0,30
0,1,4,31,3,1,0,31
0,1,4,32,11,1,0,31
0,1,4,36,11,1,0,30
0,2,4,30,3,2,0,30
0,2,4,31,3,2,0,31
0,2,4,32,11,2,0,31
0,2,4,36,11,2,0,30
0,3,4,30,3,3,0,30
0,3,4,31,3,3,0,31
0,3,4,32,11,3,0,31
0,3,4,36,11,3,0,30
0,4,4,30,3,4,0,30
0,4,4,31,3,4,0,31
0,4,4,32,11,4,0,31
0,4,4,36,11,4,0,30
0,5,4,30,3,5,0,30
0,5,4,31,3,5,0,31
0,5,4,32,11,5,0,31
0,5,4,36,11,5,0,30
0,0,5,30,3,0,1,30
0,0,5,31,3,0,1,31
0,0,5,32,11,0,1,31
0,0,5,36,11,0,1,30
0,1,5,30,3,1,1,30
0,1,5,31,3,1,1,31
0,1,5,32,11,1,1,31
0,1,5,36,11,1,1,30
0,2,5,30,3,2,1,30
0,2,5,31,3,2,1,31
0,2,5,32,11,2,1,31
0,2,5,36,11,2,1,30
0,3,5,30,3,3,1,30
0,3,5,31,3,3,1,31
0,3,5,32,11,3,1,31
0,3,5,36,11,3,1,30
0,4,5,30,3,4,1,30
0,4,5,31,3,4,1,31
0,4,5,32,11,4,1,31
0,4,5,36,11,4,1,30
0,5,5,30,3,5,1,30
0,5,5,31,3,5,1,31
0,5,5,32,11,5,1,31
0,5,5,36,11,5,1,30
0,0,6,30,4,0,0,30
0,0,6,31,4,0,0,31
0,0,6,32,13,0,0,31
0,0,6,36,13,0,0,30
0,1,6,30,4,1,0,30
0,1,6,31,4,1,0,31
0,1,6,32,13,1,0,31
0,1,6,36,13,1,0,30
0,2,6,30,4,2,0,30
0,2,6,31,4,2,0,31
0,2,6,32,13,2,0,31
0,2,6,36,13,2,0,30
0,3,6,30,4,3,0,30
0,3,6,31,4,3,0,31
0,3,6,32,13,3,0,31
0,3,6,36,13,3,0,30
0,4,6,30,4,4,0,30
0,4,6,31,4,4,0,31
0,4,6,32,13,4,0,31
0,4,6,36,13,4,0,30
0,5,6,30,4,5,0,30
0,5,6,31,4,5,0,31
0,5,6,32,13,5,0,31
0,5,6,36,13,5,0,30
0,0,7,30,4,0,1,30
0,0,7,31,4,0,1,31
0,0,7,32,13,0,1,31
0,0,7,36,13,0,1,30
0,1,7,30,4,1,1,30
0,1,7,31,4,1,1,31
0,1,7,32,13,1,1,31
0,1,7,36,13,1,1,30
0,2,7,30,4,2,1,30
0,2,7,31,4,2,1,31
0,2,7,32,13,2,1,31
0,2,7,36,13,2,1,30
0,3,7,30,4,3,1,30
0,3,7,31,4,3,1,31
0,3,7,32,13,3,1,31
0,3,7,36,13,3,1,30
0,4,7,30,4,4,1,30
0,4,7,31,4,4,1,31
0,4,7,32,13,4,1,31
0,4,7,36,13,4,1,30
0,5,7,30,4,5,1,30
0,5,7,31,4,5,1,31
0,5,7,32,13,5,1,31
0,5,7,36,13,5,1,30
0,0,8,33,14,0,0,30
0,0,8,34,5,0,0,30
0,0,8,35,5,0,0,31
0,0,8,39,14,0,0,31
0,1,8,33,14,1,0,30
0,1,8,34,5,1,0,30
0,1,8,35,5,1,0,31
0,1,8,39,14,1,0,31
0,2,8,33,14,2,0,30
0,2,8,34,5,2,0,30
0,2,8,35,5,2,0,31
0,2,8,39,14,2,0,31
0,3,8,33,14,3,0,30
0,3,8,34,5,3,0,30
0,3,8,35,5,3,0,31
0,3,8,39,14,3,0,31
0,4,8,33,14,4,0,30
0,4,8,34,5,4,0,30
0,4,8,35,5,4,0,31
0,4,8,39,14,4,0,31
0,5,8,33,14,5,0,30
0,5,8,34,5,5,0,30
0,5,8,35,5,5,0,31
0,5,8,39,14,5,0,31
0,0,9,33,14,0,1,30
0,0,9,34,5,0,1,30
0,0,9,35,5,0,1,31
0,0,9,39,14,0,1,31
0,1,9,33,14,1,1,30
0,1,9,34,5,1,1,30
0,1,9,35,5,1,1,31
0,1,9,39,14,1,1,31
0,2,9,33,14,2,1,30
0,2,9,34,5,2,1,30
0,2,9,35,5,2,1,31
0,2,9,39,14,2,1,31
0,3,9,33,14,3,1,30
