sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
0,0,0,0,0,1,g,142.178516,139.522597,0.016234,0.019863,2.097146,0.184641,0.226022,0.112013,0.000000
1,0,0,1,0,1,g,179.901997,177.733993,0.045480,0.004473,0.904845,0.912155,0.012132,0.102839,0.186081
2,0,0,2,0,1,g,374.489443,370.161403,0.059155,0.005643,1.289684,1.967883,0.037913,0.654899,0.312863
3,0,0,3,0,1,g,345.697827,331.578712,0.797634,0.016975,4.048099,5.770415,0.120761,2.487889,0.877342
4,0,0,4,0,1,g,166.333531,106.181237,3.870143,0.017603,43.735612,6.151877,0.123242,5.535886,0.717931
5,0,0,5,0,1,g,247.028198,161.955308,1.007148,0.025085,5.147456,9.616986,0.173230,67.730766,1.372219
6,0,0,6,0,1,g,288.165030,148.611174,0.067472,0.024966,38.897477,7.944018,0.089049,91.725798,0.805077
7,0,0,7,0,1,g,354.232165,119.253079,0.060378,0.013122,221.915424,5.853778,0.077654,6.626519,0.432210
8,0,0,8,0,1,g,492.988955,123.259046,0.056550,0.008412,314.414476,5.864940,0.094415,10.485653,38.805464
9,0,0,9,0,1,g,331.082659,101.210615,0.048969,0.015576,4.064844,141.863531,0.100924,2.547214,81.230986
10,0,0,10,0,1,g,389.960008,144.520624,0.054086,0.028843,6.592050,223.819978,0.162906,3.240427,11.541095
11,0,0,11,0,1,g,352.181318,143.973270,0.063105,0.253464,6.345655,193.467281,0.163086,3.025501,4.889955
12,0,0,12,0,1,g,256.067441,125.057725,0.056859,0.568683,5.560546,117.208487,0.127158,2.897028,4.590955
13,0,0,13,0,1,g,245.463368,199.117568,0.095489,2.383737,9.055287,25.504284,0.247410,4.471066,4.588527
14,0,0,14,0,1,g,256.801681,208.432842,0.084470,0.566247,25.794007,11.170274,4.319802,4.736497,1.697541
15,0,0,15,0,1,g,214.353274,118.933615,0.608043,0.010432,14.245531,11.819208,5.487698,45.651854,17.596893
0,0,0,0,0,2,g,136.513493,132.882067,0.035937,0.053880,3.311501,0.000000,0.072120,0.157988,0.000000
