sg,sr,sg,dg,dr,dc,color,value
0,0,0,0,0,1,g,0.566763
1,0,0,1,0,1,g,0.679948
2,0,0,2,0,1,g,0.804993
3,0,0,3,0,1,g,0.721514
4,0,0,4,0,1,g,0.429728
5,0,0,5,0,1,g,0.632204
6,0,0,6,0,1,g,0.490568
7,0,0,7,0,1,g,0.520572
8,0,0,8,0,1,g,0.689991
9,0,0,9,0,1,g,0.565707
10,0,0,10,0,1,g,0.603463
11,0,0,11,0,1,g,0.613427
12,0,0,12,0,1,g,0.536024
13,0,0,13,0,1,g,0.446211
14,0,0,14,0,1,g,0.659812
0,0,0,0,0,2,g,0.691536
1,0,0,1,0,2,g,0.505297
2,0,0,2,0,2,g,0.477839
3,0,0,3,0,2,g,0.742935
4,0,0,4,0,2,g,0.488032
5,0,0,5,0,2,g,0.480048
6,0,0,6,0,2,g,0.515770
7,0,0,7,0,2,g,0.551797
8,0,0,8,0,2,g,0.629603
9,0,0,9,0,2,g,0.715697
10,0,0,10,0,2,g,0.640990
11,0,0,11,0,2,g,0.416360
12,0,0,12,0,2,g,0.499452
13,0,0,13,0,2,g,0.591484
14,0,0,14,0,2,g,0.770669
0,0,0,0,0,3,g,0.468146
1,0,0,1,0,3,g,0.571582
2,0,0,2,0,3,g,0.479897
3,0,0,3,0,3,g,0.509505
4,0,0,4,0,3,g,0.754362
5,0,0,5,0,3,g,0.575708
6,0,0,6,0,3,g,0.481447
7,0,0,7,0,3,g,0.635883
8,0,0,8,0,3,g,0.528745
9,0,0,9,0,3,g,0.379027
10,0,0,10,0,3,g,0.881733
11,0,0,11,0,3,g,0.442492
12,0,0,12,0,3,g,0.502765
13,0,0,13,0,3,g,0.421084
14,0,0,14,0,3,g,0.563835
0,0,0,0,0,4,g,0.715846
1,0,0,1,0,4,g,0.685838
2,0,0,2,0,4,g,0.606389
3,0,0,3,0,4,g,0.707251
4,0,0,4,0,4,g,0.603120
5,0,0,5,0,4,g,0.453161
6,0,0,6,0,4,g,0.466520
7,0,0,7,0,4,g,0.785792
8,0,0,8,0,4,g,0.494558
9,0,0,9,0,4,g,0.694805
10,0,0,10,0,4,g,0.650814
11,0,0,11,0,4,g,0.620389
12,0,0,12,0,4,g,0.565439
13,0,0,13,0,4,g,0.610186
14,0,0,14,0,4,g,0.578843
0,0,0,0,0,5,g,0.488907
1,0,0,1,0,5,g,0.692112
2,0,0,2,0,5,g,0.394513
3,0,0,3,0,5,g,0.331312
4,0,0,4,0,5,g,0.699804
5,0,0,5,0,5,g,0.381617
6,0,0,6,0,5,g,0.522879
7,0,0,7,0,5,g,0.472924
8,0,0,8,0,5,g,0.722843
9,0,0,9,0,5,g,0.925403
10,0,0,10,0,5,g,0.641004
11,0,0,11,0,5,g,0.797244
12,0,0,12,0,5,g,0.573361
13,0,0,13,0,5,g,0.312440
14,0,0,14,0,5,g,0.436070
0,0,0,0,0,6,g,0.442930
1,0,0,1,0,6,g,0.668253
2,0,0,2,0,6,g,0.707580
3,0,0,3,0,6,g,0.643975
4,0,0,4,0,6,g,0.493515
5,0,0,5,0,6,g,0.582281
6,0,0,6,0,6,g,0.451457
7,0,0,7,0,6,g,0.719949
8,0,0,8,0,6,g,0.682791
9,0,0,9,0,6,g,0.461848
10,0,0,10,0,6,g,0.568303
11,0,0,11,0,6,g,0.641239
12,0,0,12,0,6,g,0.460082
13,0,0,13,0,6,g,0.346380
14,0,0,14,0,6,g,0.553708
0,0,0,0,0,7,g,0.449018
1,0,0,1,0,7,g,0.406664
2,0,0,2,0,7,g,0.533688
3,0,0,3,0,7,g,0.872806
4,0,0,4,0,7,g,0.531860
5,0,0,5,0,7,g,0.539464
6,0,0,6,0,7,g,0.377558
7,0,0,7,0,7,g,0.544558
8,0,0,8,0,7,g,0.683941
9,0,0,9,0,7,g,0.495913
10,0,0,10,0,7,g,0.840154
11,0,0,11,0,7,g,0.921487
12,0,0,12,0,7,g,0.565048
13,0,0,13,0,7,g,0.560149
14,0,0,14,0,7,g,0.647528
0,0,0,0,0,8,g,0.463479
1,0,0,1,0,8,g,0.435859
2,0,0,2,0,8,g,0.669777
3,0,0,3,0,8,g,0.679651
4,0,0,4,0,8,g,0.481692
5,0,0,5,0,8,g,0.879637
6,0,0,6,0,8,g,0.699487
7,0,0,7,0,8,g,0.607593
8,0,0,8,0,8,g,0.324268
9,0,0,9,0,8,g,0.557535
10,0,0,10,0,8,g,0.552747
11,0,0,11,0,8,g,0.615627
12,0,0,12,0,8,g,0.514957
13,0,0,13,0,8,g,0.365855
14,0,0,14,0,8,g,0.657642
0,0,0,0,0,9,g,0.454871
1,0,0,1,0,9,g,0.523421
2,0,0,2,0,9,g,0.503567
3,0,0,3,0,9,g,0.751830
4,0,0,4,0,9,g,0.471069
5,0,0,5,0,9,g,0.561934
6,0,0,6,0,9,g,0.646655
7,0,0,7,0,9,g,0.654899
8,0,0,8,0,9,g,0.586454
9,0,0,9,0,9,g,0.303339
10,0,0,10,0,9,g,0.581558
11,0,0,11,0,9,g,0.638476
12,0,0,12,0,9,g,0.331967
13,0,0,13,0,9,g,0.509107
14,0,0,14,0,9,g,0.395987
0,0,0,0,0,10,g,0.586325
1,0,0,1,0,10,g,0.613432
2,0,0,2,0,10,g,0.705297
3,0,0,3,0,10,g,0.505134
4,0,0,4,0,10,g,0.418163
5,0,0,5,0,10,g,0.543513
6,0,0,6,0,10,g,0.377054
7,0,0,7,0,10,g,0.662586
8,0,0,8,0,10,g,0.568470
9,0,0,9,0,10,g,0.420367
10,0,0,10,0,10,g,0.887942
11,0,0,11,0,10,g,0.390356
12,0,0,12,0,10,g,0.672930
13,0,0,13,0,10,g,0.853721
14,0,0,14,0,10,g,0.641095
0,0,0,0,0,11,g,0.576291
1,0,0,1,0,11,g,0.580796
2,0,0,2,0,11,g,0.715287
3,0,0,3,0,11,g,0.434560
4,0,0,4,0,11,g,0.698192
5,0,0,5,0,11,g,0.642656
6,0,0,6,0,11,g,0.652960
7,0,0,7,0,11,g,0.747214
8,0,0,8,0,11,g,0.380789
9,0,0,9,0,11,g,0.488169
10,0,0,10,0,11,g,0.578483
11,0,0,11,0,11,g,0.401286
12,0,0,12,0,11,g,0.473901
13,0,0,13,0,11,g,0.408707
14,0,0,14,0,11,g,0.606005
0,0,0,0,0,12,g,0.283626
1,0,0,1,0,12,g,0.445980
2,0,0,2,0,12,g,0.342323
3,0,0,3,0,12,g,0.528777
4,0,0,4,0,12,g,0.453762
5,0,0,5,0,12,g,0.405357
6,0,0,6,0,12,g,0.278001
7,0,0,7,0,12,g,0.361056
8,0,0,8,0,12,g,0.462108
9,0,0,9,0,12,g,0.319868
10,0,0,10,0,12,g,0.355244
11,0,0,11,0,12,g,0.290331
12,0,0,12,0,12,g,0.481972
13,0,0,13,0,12,g,0.353682
14,0,0,14,0,12,g,0.247735
0,0,0,0,0,13,g,0.436146
1,0,0,1,0,13,g,0.535199
2,0,0,2,0,13,g,0.422877
3,0,0,3,0,13,g,0.611142
4,0,0,4,0,13,g,0.608817
5,0,0,5,0,13,g,0.479662
6,0,0,6,0,13,g,0.685053
7,0,0,7,0,13,g,0.569912
8,0,0,8,0,13,g,0.495280
9,0,0,9,0,13,g,0.637049
10,0,0,10,0,13,g,0.434357
11,0,0,11,0,13,g,0.222965
12,0,0,12,0,13,g,0.437495
13,0,0,13,0,13,g,0.430886
14,0,0,14,0,13,g,0.344795
0,0,0,0,0,14,g,0.328645
1,0,0,1,0,14,g,0.650573
2,0,0,2,0,14,g,0.424249
3,0,0,3,0,14,g,0.563002
4,0,0,4,0,14,g,0.349886
5,0,0,5,0,14,g,0.349895
6,0,0,6,0,14,g,0.274576
7,0,0,7,0,14,g,0.388696
8,0,0,8,0,14,g,0.291421
9,0,0,9,0,14,g,0.298832
10,0,0,10,0,14,g,0.532515
11,0,0,11,0,14,g,0.301682
12,0,0,12,0,14,g,0.530199
13,0,0,13,0,14,g,0.390881
14,0,0,14,0,14,g,0.448374
0,0,0,0,0,15,g,0.541707
1,0,0,1,0,15,g,0.570537
2,0,0,2,0,15,g,0.450717
3,0,0,3,0,15,g,0.434540
4,0,0,4,0,15,g,0.536853
5,0,0,5,0,15,g,0.343374
6,0,0,6,0,15,g,0.501075
7,0,0,7,0,15,g,0.358708
8,0,0,8,0,15,g,0.562499
9,0,0,9,0,15,g,0.370975
10,0,0,10,0,15,g,0.337670
11,0,0,11,0,15,g,0.733024
12,0,0,12,0,15,g,0.492585
13,0,0,13,0,15,g,0.521060
14,0,0,14,0,15,g,0.478947
0,0,0,0,1,0,k,0.438132
1,0,0,1,1,0,k,0.429960
2,0,0,2,1,0,k,0.529791
3,0,0,3,1,0,k,0.522864
4,0,0,4,1,0,k,0.492161
5,0,0,5,1,0,k,0.481310
6,0,0,6,1,0,k,0.379404
7,0,0,7,1,0,k,0.579567
8,0,0,8,1,0,k,0.457987
9,0,0,9,1,0,k,0.361236
10,0,0,10,1,0,k,0.582330
11,0,0,11,1,0,k,0.428725
12,0,0,12,1,0,k,0.508744
13,0,0,13,1,0,k,0.342098
14,0,0,14,1,0,k,0.479601
0,0,0,0,1,0,k,0.437022
1,0,0,1,1,0,k,0.435912
2,0,0,2,1,0,k,0.543991
3,0,0,3,1,0,k,0.534056
4,0,0,4,1,0,k,0.516842
5,0,0,5,1,0,k,0.476484
6,0,0,6,1,0,k,0.377711
7,0,0,7,1,0,k,0.561314
8,0,0,8,1,0,k,0.470879
9,0,0,9,1,0,k,0.349317
10,0,0,10,1,0,k,0.595500
11,0,0,11,1,0,k,0.420503
12,0,0,12,1,0,k,0.487643
13,0,0,13,1,0,k,0.345183
14,0,0,14,1,0,k,0.467204
0,0,0,0,1,0,k,0.448340
1,0,0,1,1,0,k,0.434996
2,0,0,2,1,0,k,0.539454
3,0,0,3,1,0,k,0.512235
4,0,0,4,1,0,k,0.509452
5,0,0,5,1,0,k,0.463110
6,0,0,6,1,0,k,0.382901
7,0,0,7,1,0,k,0.575229
8,0,0,8,1,0,k,0.472390
9,0,0,9,1,0,k,0.360185
10,0,0,10,1,0,k,0.601294
11,0,0,11,1,0,k,0.430615
12,0,0,12,1,0,k,0.489479
13,0,0,13,1,0,k,0.337481
14,0,0,14,1,0,k,0.473312
0,0,0,0,2,0,k,0.522882
1,0,0,1,2,0,k,0.500298
2,0,0,2,2,0,k,0.570901
3,0,0,3,2,0,k,0.524917
4,0,0,4,2,0,k,0.485583
5,0,0,5,2,0,k,0.510330
6,0,0,6,2,0,k,0.383972
7,0,0,7,2,0,k,0.563801
8,0,0,8,2,0,k,0.415986
9,0,0,9,2,0,k,0.455140
10,0,0,10,2,0,k,0.600634
11,0,0,11,2,0,k,0.485626
12,0,0,12,2,0,k,0.475714
13,0,0,13,2,0,k,0.345564
14,0,0,14,2,0,k,0.448781
0,0,0,0,2,0,k,0.520771
1,0,0,1,2,0,k,0.498399
2,0,0,2,2,0,k,0.554759
3,0,0,3,2,0,k,0.512856
4,0,0,4,2,0,k,0.496396
5,0,0,5,2,0,k,0.490623
6,0,0,6,2,0,k,0.382271
7,0,0,7,2,0,k,0.554198
8,0,0,8,2,0,k,0.418127
9,0,0,9,2,0,k,0.456616
10,0,0,10,2,0,k,0.592340
11,0,0,11,2,0,k,0.491521
12,0,0,12,2,0,k,0.481331
13,0,0,13,2,0,k,0.333398
14,0,0,14,2,0,k,0.446934
0,0,0,0,2,0,k,0.531705
1,0,0,1,2,0,k,0.497644
2,0,0,2,2,0,k,0.583328
3,0,0,3,2,0,k,0.512129
4,0,0,4,2,0,k,0.475920
5,0,0,5,2,0,k,0.506631
6,0,0,6,2,0,k,0.380616
7,0,0,7,2,0,k,0.549153
8,0,0,8,2,0,k,0.415917
9,0,0,9,2,0,k,0.429524
10,0,0,10,2,0,k,0.596411
11,0,0,11,2,0,k,0.509116
12,0,0,12,2,0,k,0.476681
13,0,0,13,2,0,k,0.333039
14,0,0,14,2,0,k,0.456091
0,0,0,0,3,0,k,0.456391
1,0,0,1,3,0,k,0.573089
2,0,0,2,3,0,k,0.553691
3,0,0,3,3,0,k,0.514568
4,0,0,4,3,0,k,0.494889
5,0,0,5,3,0,k,0.471595
6,0,0,6,3,0,k,0.393426
7,0,0,7,3,0,k,0.553453
8,0,0,8,3,0,k,0.422069
9,0,0,9,3,0,k,0.364338
