g,r,c,n,jobid
15,3,9,0,2199656
15,3,9,1,2199656
15,3,7,2,2199656
15,3,7,3,2199656
15,3,7,0,2199656
15,3,7,1,2199656
15,3,8,2,2199656
15,3,8,3,2199656
15,3,8,0,2199656
15,3,8,1,2199656
9,0,15,3,2151490
9,0,15,2,2151490
9,0,14,1,2151490
9,0,14,0,2151490
9,0,13,3,2151490
9,0,13,2,2151490
9,0,15,1,2151490
9,0,15,0,2151490
9,0,14,3,2151490
9,0,14,2,2151490
6,5,15,0,2134898
6,5,15,1,2134898
6,5,15,2,2134898
6,5,15,3,2134898
6,5,14,0,2134898
6,5,14,1,2134898
6,5,14,2,2134898
6,5,14,3,2134898
2,1,11,0,2134898
2,1,11,1,2134898
8,5,10,0,2151490
1,3,11,3,2199656
2,1,10,3,2134898
1,3,11,2,2199656
2,1,10,0,2134898
3,1,2,1,2151490
8,5,10,3,2151490
1,3,11,0,2199656
2,1,9,2,2134898
2,1,9,3,2134898
1,3,12,2,2199656
11,5,12,0,2016372
1,3,12,1,2199656
5,1,13,0,2156311
11,5,11,2,2016372
11,5,11,3,2016372
11,5,13,0,2016372
11,5,13,1,2016372
11,5,12,2,2016372
11,5,12,3,2016372
1,0,2,1,2156311
1,0,2,0,2156311
1,0,1,3,2156311
1,0,1,2,2156311
1,0,3,1,2156311
1,0,3,0,2156311
1,0,2,3,2156311
1,0,2,2,2156311
1,0,3,3,2156311
1,0,3,2,2156311
6,0,1,1,2199656
6,0,1,0,2199656
5,5,15,1,2199656
5,5,15,0,2199656
5,5,15,3,2199656
5,5,15,2,2199656
15,1,6,1,2156311
15,1,6,0,2156311
9,4,9,0,2151490
9,4,9,1,2151490
9,4,8,2,2151490
9,4,8,3,2151490
9,4,8,0,2151490
9,4,8,1,2151490
9,4,7,2,2151490
9,4,7,3,2151490
9,4,7,0,2151490
9,4,7,1,2151490
4,3,10,0,2134898
4,3,10,1,2134898
4,3,8,2,2134898
4,3,8,3,2134898
4,3,8,0,2134898
4,3,8,1,2134898
4,3,9,2,2134898
4,3,9,3,2134898
4,3,9,0,2134898
4,3,9,1,2134898
4,0,3,0,2134898
4,0,3,1,2134898
14,3,12,2,2134898
14,3,12,3,2134898
14,3,11,0,2134898
14,3,11,1,2134898
14,3,10,2,2134898
14,3,10,3,2134898
14,3,12,0,2134898
14,3,12,1,2134898
14,3,11,2,2134898
14,3,11,3,2134898
9,1,15,0,2151490
9,3,10,1,2151490
9,3,10,0,2151490
9,3,8,3,2151490
9,3,8,2,2151490
9,3,8,1,2151490
9,3,8,0,2151490
9,3,9,3,2151490
9,3,9,2,2151490
9,3,9,1,2151490
9,3,9,0,2151490
9,1,2,3,2151490
9,1,2,2,2151490
9,1,3,1,2151490
9,1,3,0,2151490
13,1,0,2,2156311
9,1,3,2,2151490
9,1,4,1,2151490
9,1,4,0,2151490
13,0,15,2,2156311
9,1,4,2,2151490
13,1,0,0,2156311
13,1,0,1,2156311
13,0,14,2,2156311
13,0,14,3,2156311
13,0,15,0,2156311
13,0,15,1,2156311
3,0,1,3,2156311
3,0,1,2,2156311
3,2,11,0,2151490
15,1,10,1,2156311
15,1,10,0,2156311
15,1,10,3,2156311
15,1,10,2,2156311
15,1,9,1,2156311
15,1,9,0,2156311
15,1,9,3,2156311
15,1,9,2,2156311
11,5,15,2,2016372
11,5,15,3,2016372
11,5,14,2,2016372
11,5,14,3,2016372
11,5,14,0,2016372
11,5,14,1,2016372
7,0,9,3,2134898
7,0,9,2,2134898
7,0,9,1,2134898
7,0,9,0,2134898
7,0,8,3,2134898
7,0,8,2,2134898
7,0,8,1,2134898
7,0,8,0,2134898
7,0,10,1,2134898
7,0,10,0,2134898
4,2,9,0,2156311
4,2,9,1,2156311
13,4,4,1,2134898
13,4,4,0,2134898
4,2,10,0,2156311
4,2,10,1,2156311
4,2,10,2,2156311
4,2,10,3,2156311
4,2,11,0,2156311
4,2,11,1,2156311
13,4,5,1,2134898
13,4,5,0,2134898
11,5,7,2,2156311
11,5,7,3,2156311
11,5,8,1,2156311
10,1,13,3,2016372
7,5,5,1,2134898
7,5,5,0,2134898
7,5,4,3,2134898
7,5,4,2,2134898
7,5,4,1,2134898
7,5,4,0,2134898
7,5,3,3,2134898
7,5,3,2,2134898
7,5,3,1,2134898
7,5,3,0,2134898
10,5,9,2,2156311
10,5,9,3,2156311
10,5,9,0,2156311
10,5,9,1,2156311
10,5,8,2,2156311
10,5,8,3,2156311
10,5,8,0,2156311
10,5,8,1,2156311
10,5,7,2,2156311
10,5,7,3,2156311
6,3,10,2,2156311
6,3,10,3,2156311
6,3,10,0,2156311
6,3,10,1,2156311
13,1,5,2,2156311
13,1,5,3,2156311
13,1,4,0,2156311
13,1,4,1,2156311
13,1,3,2,2156311
13,1,3,3,2156311
13,1,5,0,2156311
13,1,5,1,2156311
13,1,4,2,2156311
13,1,4,3,2156311
2,2,10,3,2134898
2,2,10,2,2134898
2,2,9,1,2134898
2,2,9,0,2134898
2,2,8,3,2134898
2,2,8,2,2134898
2,2,10,1,2134898
2,2,10,0,2134898
2,2,9,3,2134898
2,2,9,2,2134898
14,0,1,0,2134898
14,0,1,1,2134898
14,0,1,2,2134898
14,0,1,3,2134898
14,0,2,0,2134898
14,0,2,1,2134898
14,0,2,2,2134898
14,0,2,3,2134898
14,0,3,0,2134898
14,0,3,1,2134898
2,0,7,1,2156311
2,0,7,0,2156311
2,0,6,3,2156311
2,0,6,2,2156311
2,0,6,1,2156311
2,0,6,0,2156311
2,0,5,3,2156311
2,0,5,2,2156311
4,1,7,3,2134898
